,Comment,Sentiment
0,Hahaha😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Neutral
1,He is moaning like his butt got fucked 😂😂😂😂,Negative
2,So not cool! Btw he tapped out twice and you still didn’t help that’s beyond dangerous even for a prank 👎🏼👎🏼,Negative
3,Best part. There there. Pat's on the back.,Positive
4,he sounds like a bata-male. or a women.,Positive
5,Best prank ever😂😂😂😂😂 Winner!!!,Positive
6,Omg I felt so bad for him... I literally just wanted to hug him,Negative
7,"Why didn't she bring up the fact that he did the exact same thing to her, when he put hot sauce on her hamburger. Ultimate Revenge.",Negative
8,Sounds like a drag queen screaming like that,Positive
9,HE COULD DIE,Negative
10,She just called him over phone to eat noodles and tries to make a vlog with Spicynoodlechallenge... i.e Something+challenge. This just shows that vlogs are total shit.. Taking videos of eating food and things and making it look like something huge.,Positive
11,Just 3 - 4 drips of that sauce... Pfff.. My mom puts half that bottle in the sphagetti and we all eat,Neutral
12,Hey man you girl don't scream like that...now you scream like a girl😄😄😄😄🤙✌,Positive
13,"The next time u guys do a spicy and or non spicy food challenge u should mix n either Ghost Pepper or Catalina Reaper powder n his food. Tht right there will light him up lol 

SCOVILLE HEAT SCALE 
> Ghost Pepper = 800,000 - 1,001,300
> Catalina Reaper = 2,200,000

Kate awesome video. I personally thought it was a great one. I love spicy food and have eaten the Ghost Peppers an Carolina Reaper by themselves",Positive
14,How to lose a boyfriend.,Negative
15,Aww he looks pitiful... Some people can't handle hot shit. 😭🤣🤣🤣,Positive
16,This is too funny 😂,Positive
17,What if he just exchanged the bowl before eating...👹,Neutral
18,is that a gay,Neutral
19,She is amazing. Love her pranks!!!,Positive
20,I would not be going out with that girl...I would sack her ass,Negative
21,I am so scared because I'm at 3:43 and I don't want her boyfriend to die,Negative
22,"sis what he do... 😂

edit: nvm he deserved it",Neutral
23,This was too funny....i couldnt stop laughing,Negative
24,"nope not ok, this is not funny at all",Negative
25,"Please don't do anything like this again in life. It's very dengerous.
It can kill him.
Please don't do this.😭🙏🙏🙏",Negative
26,“Turn the damn camera off” his face I can’t omg 😂😂,Negative
27,That was awesome!!!! Loved it so much!!! 😊,Positive
28,This makes me laugh so hard so funny,Positive
